First_name,middle_name,Last_name,Office,District,,,Website,facebook,instagram,Twitter
Vincent,,Fort,Mayor,,,,vincentfort.com,,,
Keisha,Lance,Bottoms,Mayor,,,,keishalancebottoms.com,,,
Mary,,Norwood,Mayor,,,,www.marynorwood.com,,,
Ceasar,C,Mitchell,Mayor,,,,ceasarformayor.com,,,
Cathy,,Woolard,Mayor,,,,cathyforatlanta.com,,,
Peter,,Aman,Mayor,,,,peteraman.com,,,
Michael,,Sterling,Mayor,,,,michaelforatlanta.com,,,
Elbert,"""Al""",Bartell,Mayor,,,,,,,
Laban,,King,Mayor,,,,,,,
,,,,,,,,,,
Kwanza,,Hall,Mayor,,,,kwanzahall.com,,,
John,,Eaves,Mayor,,,,eavesforatlanta.com,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Liliana,,Bakhtiari,City Council,5,,,,,,
Lock,,Whiteside,City Council,6,,,,,,
Rontaverous,,Aribo,City Council,1,,,,,,
Tanya,,Washington,City Council,1,,,,https://www.facebook.com/votetanyawashington,,
Moraima,,Ivory,City Council,1,,,,,,
William,,Powell,City Council,1,,,,,,
Carla,,Smith,City Council,1,,,,,,
Amir,,Farokhi,City Council,2,,,,,,
Stephan,,Ferguson,City Council,2,,,,,,
Zelda,,Jackson,City Council,2,,,,,,
Lauren,,Welsh,City Council,2,,,,,,
Ricky,,Brown,City Council,3,,,,,,
Greg,,Clay,City Council,3,,,,,,
Ivory,,Young,City Council,3,,,,,,
Mr.,,Adassa,City Council,4,,,,,,
Christopher,,Brown,City Council,4,,,,,,
Daniel,,Burroughs,City Council,4,,,,,,
Steven,,Chatman,City Council,4,,,,,,
Jason,,Dozier,City Council,4,,,,,,
Nicholas,,Hess,City Council,4,,,,,,
Jonathan,,Whitfield,City Council,4,,,,,,
DeBorah,,Williams,City Council,4,,,,,,
Cleta,,Winslow,City Council,4,,,,,,
Natalyn,,Archibong,City Council,5,,,,,,
Jennifer,,Ide,City Council,6,,,,,,
Kirk,,Rich,City Council,6,,,,,,
Lock,,Whiteside,City Council,6,,,,,,
Charles,,Shook,City Council,7,,,,,,
,,,,,,,,,,
William,,Harrison,City Council,9,,,,,,
Dustin,,Hillis,City Council,9,,,,,,
Clarence,,Martin,City Council,10,,,,,,
Erika,,Mitchell,City Council,10,,,,,,
Beverly,,Rice,City Council,10,,,,,,
Harold,,Hardnett,City Council,11,,,,,,
Latarsha,,Holden,City Council,11,,,,,,
Anthony,,Johnson,City Council,11,,,,,,
Brionte,,McCorkle,City Council,11,,,,,,
Marcia,,Overstreet,City Council,11,,,,,,
Georgianne,,Thomas,City Council,11,,,,,,
Randy,,Gibbs,City Council,12,,,,,,
Michael,,Jackson,City Council,12,,,,,,
Joyce,,Sheperd,City Council,12,,,,,,
Michael,,Bond,City Council At-Large 1,,,,,,,
Courtney,,English,City Council At-Large 1,,,,,,,
Anthony,,Green,City Council At-Large 1,,,,,,,
Cory,,Ruth,City Council At-Large 2,,,,,,,
Matt,,Westmoreland,City Council At-Large 2,,,,,,,
Andre,,Dickens,City Council At-Large 3,,,,,,,
Clarence,,Martin,City Council President,,,,,,,
Felicia,,Moore,City Council President,,,,,,,
Alexander,,Wan,City Council President,,,,,,,
